No,continent,short,country,food,foodexplain,photourl,nonwikiurl,etc
180,"Central Asia",PK,Pakistan,Osh,"Pilaf (US spelling), or pilau (UK spelling) is a rice dish, or in some regions, a wheat dish, whose recipe usually involves cooking in stock or broth, adding spices, and other ingredients such as vegetables or meat, and employing some technique for achieving cooked grains that do not adhere. At the time of the Abbasid Caliphate, such methods of cooking rice at first spread through a vast territory from India to Spain, and eventually to a wider world. The Spanish paella, and the South Asian pilau or pulao, and biryani, evolved from such dishes. Pilaf and similar dishes are common to Balkan, Caribbean, South Caucasian, Central Asian, East African, Eastern European, Latin American, Middle Eastern, and South Asian cuisines. It is a staple food and a popular dish in Afghanistan, Armenia, Azerbaijan, Bangladesh, China (notably in Xinjiang), Cyprus, Georgia, Greece (notably in Crete), India, Iraq (notably in Kurdistan), Iran, Israel,Kazakhstan, Kenya , Kyrgyzstan, Nepal, Pakistan, Romania, Russia, Tanzania (notably in Zanzibar), Tajikistan, Turkey, Turkmenistan, Uganda, and Uzbekistan.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Afghan_Palo.jpg/420px-Afghan_Palo.jpg,,
181,"Central Asia",PK,Pakistan,lepyoshka,"Tandyr nan, tandir non (Uzbek) or tonur nan, also called lepyoshka , is a type of leavened Central Asian bread similar to naan. Obi non or lepyoshka , is a kind of flatbread in Afghan, Tajik and Uzbek cuisine. It is shaped like a disc and thicker than naan. Obi non are baked in clay ovens called tandyr. Tohax , also known as toqach or toghach, is a type of tandoor bread. It is consumed within the Xinjiang Uyghur Autonomous Region of China, as well as in many regions of Central Asia (Kazakhstan, Kyrgyzstan, Uzbekistan).",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Taj_Lepeshki.jpg/330px-Taj_Lepeshki.jpg,,
182,"Central Asia",PK,Pakistan,Samsa,"Samsa (is a savoury meat pastry in Central Asian cuisines. In present-day nations of Tajikistan, Kazakhstan, Kyrgyzstan, Uzbekistan, as well as Xinjiang Uygur Autonomous Region of China, samsas are almost always baked and never fried. The traditional samsa is often baked in the tandoor, which is a special clay oven. The dough can be a simple bread dough or a layered pastry dough. The most common filling for traditional samsa is a mixture of minced lamb and onions, but chicken, minced beef and cheese varieties are also quite common from street vendors. Samsas with other fillings, such as potato or pumpkin (usually only when in season), can also be found. Central Asian samsa resemble buns stuffed with beef or lamb and vegetables. In Central Asia, samsas are often sold on the streets as a hot snack. They are sold at kiosks, where only samsas are made, or alternatively, at kiosks where other fast foods (such as hamburgers) are sold. Many grocery stores also buy samsas from suppliers and resell them.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/%27Parmuda%27-uzbek_samsa-02.jpg/330px-%27Parmuda%27-uzbek_samsa-02.jpg,,
183,"Central Asia",PK,Pakistan,"Corba(Corba food)","Chorba is one of various kinds of soup or stew found in national cuisines across the Balkans, North Africa, Central Europe, Eastern Europe, Central Asia, Middle East and the Indian subcontinent. Chorba or shorba is variously derived from the Arabic word meaning gravy or from a Persian term from shor ("salty, brackish") "water/stew" or from a hypothetical cognate word common to Arabic and Persian. Chorba is also called shorba.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Ready_kurban_chorba.JPG/375px-Ready_kurban_chorba.JPG,,
184,"Central Asia",PK,Pakistan,Lagman,"Laghman  is a Central Asian dish of pulled noodles, meat and vegetables. Native Turkic words do not begin with L, so läghmän must be a loanword,probably from the Chinese lamian, although its taste and preparation are distinctly Uyghur. It is especially popular in Kazakhstan and Kyrgyzstan, where it is considered a national dish of the local Uyghur and Dungan ethnic minorities. It is also popular in Uzbekistan, Tajikistan and Northeastern Afghanistan, where chickpeas are added to it and in the Chitral and Gilgit regions of Northern Pakistan, where it is known as Kalli or Dau Dau. The Crimean Tatar cuisine also adopted lagman from the Uzbek culture.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Uyghur_Lagman.jpg/330px-Uyghur_Lagman.jpg,,
185,"Central Asia",KZ,Kazakhstan,lepyoshka,"Tandyr nan, tandir non (Uzbek) or tonur nan, also called lepyoshka , is a type of leavened Central Asian bread similar to naan. Obi non or lepyoshka , is a kind of flatbread in Afghan, Tajik and Uzbek cuisine. It is shaped like a disc and thicker than naan. Obi non are baked in clay ovens called tandyr. Tohax , also known as toqach or toghach, is a type of tandoor bread. It is consumed within the Xinjiang Uyghur Autonomous Region of China, as well as in many regions of Central Asia (Kazakhstan, Kyrgyzstan, Uzbekistan).",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Taj_Lepeshki.jpg/330px-Taj_Lepeshki.jpg,,
186,"Central Asia",KZ,Kazakhstan,Osh,"Pilaf (US spelling), or pilau (UK spelling) is a rice dish, or in some regions, a wheat dish, whose recipe usually involves cooking in stock or broth, adding spices, and other ingredients such as vegetables or meat, and employing some technique for achieving cooked grains that do not adhere. At the time of the Abbasid Caliphate, such methods of cooking rice at first spread through a vast territory from India to Spain, and eventually to a wider world. The Spanish paella, and the South Asian pilau or pulao, and biryani, evolved from such dishes. Pilaf and similar dishes are common to Balkan, Caribbean, South Caucasian, Central Asian, East African, Eastern European, Latin American, Middle Eastern, and South Asian cuisines. It is a staple food and a popular dish in Afghanistan, Armenia, Azerbaijan, Bangladesh, China (notably in Xinjiang), Cyprus, Georgia, Greece (notably in Crete), India, Iraq (notably in Kurdistan), Iran, Israel,Kazakhstan, Kenya , Kyrgyzstan, Nepal, Pakistan, Romania, Russia, Tanzania (notably in Zanzibar), Tajikistan, Turkey, Turkmenistan, Uganda, and Uzbekistan.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Afghan_Palo.jpg/420px-Afghan_Palo.jpg,,
187,"Central Asia",KZ,Kazakhstan,Samsa,"Samsa (is a savoury meat pastry in Central Asian cuisines. In present-day nations of Tajikistan, Kazakhstan, Kyrgyzstan, Uzbekistan, as well as Xinjiang Uygur Autonomous Region of China, samsas are almost always baked and never fried. The traditional samsa is often baked in the tandoor, which is a special clay oven. The dough can be a simple bread dough or a layered pastry dough. The most common filling for traditional samsa is a mixture of minced lamb and onions, but chicken, minced beef and cheese varieties are also quite common from street vendors. Samsas with other fillings, such as potato or pumpkin (usually only when in season), can also be found. Central Asian samsa resemble buns stuffed with beef or lamb and vegetables. In Central Asia, samsas are often sold on the streets as a hot snack. They are sold at kiosks, where only samsas are made, or alternatively, at kiosks where other fast foods (such as hamburgers) are sold. Many grocery stores also buy samsas from suppliers and resell them.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/%27Parmuda%27-uzbek_samsa-02.jpg/330px-%27Parmuda%27-uzbek_samsa-02.jpg,,
188,"Central Asia",KZ,Kazakhstan,"Corba(Corba food)","Chorba is one of various kinds of soup or stew found in national cuisines across the Balkans, North Africa, Central Europe, Eastern Europe, Central Asia, Middle East and the Indian subcontinent. Chorba or shorba is variously derived from the Arabic word meaning gravy or from a Persian term from shor ("salty, brackish") "water/stew" or from a hypothetical cognate word common to Arabic and Persian. Chorba is also called shorba.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Ready_kurban_chorba.JPG/375px-Ready_kurban_chorba.JPG,,
189,"Central Asia",KZ,Kazakhstan,Lagman,"Laghman  is a Central Asian dish of pulled noodles, meat and vegetables. Native Turkic words do not begin with L, so läghmän must be a loanword,probably from the Chinese lamian, although its taste and preparation are distinctly Uyghur. It is especially popular in Kazakhstan and Kyrgyzstan, where it is considered a national dish of the local Uyghur and Dungan ethnic minorities. It is also popular in Uzbekistan, Tajikistan and Northeastern Afghanistan, where chickpeas are added to it and in the Chitral and Gilgit regions of Northern Pakistan, where it is known as Kalli or Dau Dau. The Crimean Tatar cuisine also adopted lagman from the Uzbek culture.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Uyghur_Lagman.jpg/330px-Uyghur_Lagman.jpg,,
190,"Southeast Asia",TH,Thailand,"Tom Yum Goong","Tom yum or tom yam is a type of hot and sour Thai soup,[3] usually cooked with shrimp (prawn). Tom yum has its origin in Thailand. The words "tom yam" are derived from two Thai words. Tom refers to the boiling process, while yam refers to a Thai spicy and sour salad. Tom yum is characterised by its distinct hot and sour flavours, with fragrant spices and herbs generously used in the broth. The soup is also made with fresh ingredients such as lemongrass, kaffir lime leaves, galangal, lime juice, fish sauce, and crushed red chili peppers. Commercial tom yum paste is made by crushing all the herb ingredients and stir frying in oil. Then, seasoning and other preservative ingredients are added. The paste is bottled or packaged and sold around the world. Tom yum flavored with the paste may have different characteristics from that made with fresh herb ingredients. The soup often includes meats such as chicken, beef, pork, or shrimp. The 1997 financial
crisis in Asia, which started in Thailand, is sometimes referred to as the "Tom Yam Kung Crisis".",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Tom_yam_kung_maenam.jpg/450px-Tom_yam_kung_maenam.jpg,,
191,"Southeast Asia",TH,Thailand,"Phat Kaphrao","Phat kaphrao  spelled pad krapow, kaprao, is one of the most popular Thai à la carte dishes.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Basil_fried_crispy_pork_with_rice_-_Chiang_Mai_-_2017-07-11_%28002%29.jpg/420px-Basil_fried_crispy_pork_with_rice_-_Chiang_Mai_-_2017-07-11_%28002%29.jpg,,
192,"Southeast Asia",TH,Thailand,"Pad Thai","Pad thai, or phad thai , is a stir-fried rice noodle dish commonly served as a street food and at most restaurants in Thailand as part of the country's cuisine. It is typically made with rice noodles, shrimp, chicken, beef or tofu, peanuts, a scrambled egg, and bean sprouts, among other vegetables. The ingredients are sautéed together in a wok, which creates even heat distribution. Once the dish is completed it is tossed in pad thai sauce, which gives the dish its signature tangy salty flavor with a hint of sweetness.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Phat_Thai_kung_Chang_Khien_street_stall.jpg/330px-Phat_Thai_kung_Chang_Khien_street_stall.jpg,,
193,"Southeast Asia",TH,Thailand,"Cho muang","Cho muang or chor muang , sometimes translated as Thai flower dumpling, is a traditional Thai savoury snack. Its existence has been documented since the reign of King Rama II (Phra Phutthaloetla Naphalai), in the Kap He Chom
Khrueang Khao Wan poem. It is regarded as an ancient royal dish, and is marked by its carved flower-shaped appearance and indigo colouring from the anchan (Butterfly Pea) flower. It is steamed dumpling which is made into flower-shaped forms that contain salty or sweet fillings, served with lettuce, coriander, and chili. Cho muang is a graceful dish full of neatness and gentleness of Thai royal craftsmanship. The original recipe of cho muang contained with a sweet filling and later was developed with the savory filling. The name cho muang means 'violet bouquet'. It came from the appearance of a number of flowers in a plate arrangement. The exterior batter is made from rice flour, arrowroot flour, and tapioca flour stirred together in a brass pan. The violet color of the exterior batter comes from butterfly pea color mixed with a few drops of lime juice. Combined with seasoned meat filling, such as shrimp, fish, pork, or chicken fried with coriander root, garlic, and pepper until dry, and then molded into the shape of a flower with the batter by using a tweezer to create the petal shapes of a flower before steaming. After the steaming process, it needs to spray with fresh coconut milk because of its original recipe was the sweet snack. Because the molding process into the flower shape requires delicate royal craftsmanship and takes much time to finish, also its moistness caused easily expiration. Cho muang is become rare to find in typical Thailand's market. Only in a special desert house is it on the shelf.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Cho_muang_-_2013-08-09_-_001.jpg/330px-Cho_muang_-_2013-08-09_-_001.jpg,,
